source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
M-TP,,2019-09-16 15:31:31,いい天気でよかった！ 📷📷📷,Nguyen Le Tuong Vi và 158K người khác,104K,5K,48K,433,120,30,18.509 bình luậ,2951088828238134,/story.php?story_fbid=2951088828238134&id=309972372349806
M-TP,,2019-09-13 19:04:12,🤫🤫🤫 Please be quiet !!!!🤫‌🤫‌🤫‌ Xin hãy im lặng !!!!,Trường Sơn và 281K người khác,208K,"7,5K",65K,633,231,61,26.067 bình luậ,2945225012157849,/story.php?story_fbid=2945225012157849&id=309972372349806
M-TP,,2019-09-04 10:00:00,"Sky ơi!!!!!! Thông báo hết sức quan trọng!!!! Tùng sẽ xuất hiện tại Lễ hội âm nhạc FWD Music Fest  #Sốngđầy2019 tối 26/10 tại SVĐ Mỹ Đình. Sân khấu hoành tráng, âm thanh khủng, Tùng nôn nóng mong sớm được “bùng nổ” với Sky thủ đô! Vì vậy, 200 vé mời sẽ được dành tặng 200 Sky có nhiều “like” nhất khi share post này ở chế độ công khai , hashtag #FWDMusicFest #Sốngđầytừhômnay. Đừng quên 18:00, 26/10 SVĐ Mỹ Đình, Sky nhé! Xem thêm tại www.fwd.com.vn/LeHoiAmNhac2019 #FWDbảohiểm",Nguyễn Arafat và 86K người khác,63K,"2,6K",20K,353,303,23,14.924 bình luậ,2909179895762361,/story.php?story_fbid=2909179895762361&id=309972372349806
M-TP,,2019-08-30 20:00:00,"""Các Sky đã đặt GoViet để được trúng vàng chưa? 💰💰💰💰💰 GoViet mừng sinh nhật lớn thật, tặng hẳn 9 cây vàng 9999 và cả ngàn quà tặng khác. Để tham gia cũng quá dễ, chỉ cần canh đúng khung giờ vàng 14h-16h để đặt đủ 2 chuyến GoBike hoặc 2 order GoFood là đã có cơ hội rồi!  Tùng chờ các Sky điểm danh nhận giải nha - https://g-v.vn/GoViet01Tuoi #GoViet01Tuoi #TrungVangCungGoViet""",44K,29K,"2,6K",12K,77,46,9,10.302 bình luậ,2917181948295489,/story.php?story_fbid=2917181948295489&id=309972372349806
"M-TP,Woody",Woody,2019-08-28 19:50:02,"Welcome to M-TP Entertainment, my dear friend!!! ❤️ We had a good time ⭐️ See you soon ✨ #SonTungMTP #Woody #MTPEntertainmentChào mừng đến với M-TP Entertainment, bạn của tôi!!! ❤️‌ Chúng tôi đã có một khoảng thời gian tuyệt vời ⭐‌ Hẹn sớm gặp lại bạn ✨‌ #SonTungMTP #Woody #MTPEntertainmentบุกส่องซุปตาร์ร้อยล้านวิว “เซิน ตุง”  M-TP เพื่อนใหม่วอดอคนนี้บอกเลยไม่ธรรมดา . #WoodyFriendRequest",M-TP và 65K người khác,44K,"3,5K",17K,224,27,13,10.594 bình luậ,2915182881828729,/story.php?story_fbid=2915182881828729&id=309972372349806
M-TP,,2019-08-27 19:39:28,🌻🌻🌻🌻🌻🌻 Trượt trượt trượtttttttt !!!!,M-TP và 140K người khác,88K,11K,40K,269,171,38,20.337 bình luậ,2911660668847617,/story.php?story_fbid=2911660668847617&id=309972372349806
M-TP,,2019-08-27 14:08:09,🌻🌻🌻,184K,132K,"6,5K",45K,356,140,41,22.364 bình luậ,2911133742233643,/story.php?story_fbid=2911133742233643&id=309972372349806
M-TP,,2019-08-24 19:10:33,🏆🏆🏆 🐅🐅🐅 Chả mấy khiiiiiiiii ... !!! #relaxingtime,M-TP và 153K người khác,96K,17K,38K,549,170,48,25.363 bình luậ,2905377109475973,/story.php?story_fbid=2905377109475973&id=309972372349806
M-TP,,2019-08-21 22:19:35,Gụt làiiiiiii .... 💋💋💋,M-TP và 191K người khác,118K,11K,59K,528,429,139,29.749 bình luậ,2899425310071153,/story.php?story_fbid=2899425310071153&id=309972372349806
M-TP,,2019-08-19 21:35:15,💋💋💋,M-TP và 226K người khác,166K,"4,7K",54K,369,131,35,27.497 bình luậ,2895226333824384,/story.php?story_fbid=2895226333824384&id=309972372349806
